Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,39,,,,39,,12138,,,0
H5,2020,2020,2020,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,381,,,,381,,22462,,,0
H5,2020,2020,2020,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,69383,,,,69383,,1352851,,,0
H5,2020,2020,2020,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,207353,,,,207353,,994766,,,0
H5,2020,2020,2020,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,10191,,,,10191,,164674,,,6
H5,2020,2020,2020,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,441,,,,441,,7855,,,6
H5,2020,2020,2020,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,20500,,,,20500,,5842,,,0
H5,2020,2020,2020,6,1,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1685,,,,1685,,7033,,,0
H5,2020,2020,2020,6,1,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,25,,,,25,,150,,,0
H5,2020,2020,2020,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,557981,,,,557981,,1277900,,,0
H5,2020,2020,2020,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,25263158,,,,25263158,,9323661,,,0
H5,2020,2020,2020,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1453,,,,1453,,6330,,,0
H5,2020,2020,2020,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,479,,,,479,,55139,,,0
H5,2020,2020,2020,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,53059,,,,53059,,97436,,,0
H5,2020,2020,2020,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,180,,,,180,,12309,,,0
H5,2020,2020,2020,6,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2774449,,,,2774449,,1635501,,,0
H5,2020,2020,2020,6,1,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,3120,,,,3120,,1777,,,0
H5,2020,2020,2020,6,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,9498,,,,9498,,78038,,,6
H5,2020,2020,2020,6,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,209,,,,209,,2768,,,6
H5,2020,2020,2020,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,243,,,,243,,829,,,0
H5,2020,2020,2020,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2418,,,,2418,,30600,,,0
